level_name,variation,scenario,template,agent,mode,result
single_force_t01_00003.xml,3,single_force,1,Datalab,train,0.890
single_force_t01_00003.xml,3,single_force,1,Eagle’s Wing,train,0.615
single_force_t01_00003.xml,3,single_force,1,Bambirds,train,0.580
single_force_t01_00003.xml,3,single_force,1,D-DDQN-Symbolic,train,0.300
single_force_t01_00003.xml,3,single_force,1,D-DDQN-Image,train,0.225
single_force_t01_00003.xml,3,single_force,1,Relational-Symbolic,train,0.375
single_force_t01_00003.xml,3,single_force,1,Relational-Image,train,0.050
single_force_t01_00003.xml,3,single_force,1,Random Agent,train,0.085
single_force_t01_00004.xml,4,single_force,1,PDDLAgent,train,Win
single_force_t01_00004.xml,4,single_force,1,Human,train,0.963
single_force_t01_00004.xml,4,single_force,1,Pig Shooter,train,0.873
single_force_t01_00004.xml,4,single_force,1,Datalab,train,0.890
single_force_t01_00004.xml,4,single_force,1,Eagle’s Wing,train,0.615
single_force_t01_00004.xml,4,single_force,1,Bambirds,train,0.580
single_force_t01_00004.xml,4,single_force,1,D-DDQN-Symbolic,train,0.300
single_force_t01_00004.xml,4,single_force,1,D-DDQN-Image,train,0.225
single_force_t01_00004.xml,4,single_force,1,Relational-Symbolic,train,0.375
single_force_t01_00004.xml,4,single_force,1,Relational-Image,train,0.050
single_force_t01_00004.xml,4,single_force,1,Random Agent,train,0.085
single_force_t01_00005.xml,5,single_force,1,PDDLAgent,train,Win
single_force_t01_00005.xml,5,single_force,1,Human,train,0.963
single_force_t01_00005.xml,5,single_force,1,Pig Shooter,train,0.873
single_force_t01_00005.xml,5,single_force,1,Datalab,train,0.890
single_force_t01_00005.xml,5,single_force,1,Eagle’s Wing,train,0.615
single_force_t01_00005.xml,5,single_force,1,Bambirds,train,0.580
single_force_t01_00005.xml,5,single_force,1,D-DDQN-Symbolic,train,0.300
single_force_t01_00005.xml,5,single_force,1,D-DDQN-Image,train,0.225
single_force_t01_00005.xml,5,single_force,1,Relational-Symbolic,train,0.375
single_force_t01_00005.xml,5,single_force,1,Relational-Image,train,0.050
single_force_t01_00005.xml,5,single_force,1,Random Agent,train,0.085
single_force_t01_00006.xml,6,single_force,1,PDDLAgent,train,Win
single_force_t01_00006.xml,6,single_force,1,Human,train,0.963
single_force_t01_00006.xml,6,single_force,1,Pig Shooter,train,0.873
